=== Run 1 ===
Message ID | Bytes | Avg Latency | Num Latencies
-----------------------------------------------
ID 1        | 37    bytes | 3936.80     | 88 latencies
ID 2        | 736   bytes | 6207.19     | 88 latencies
ID 3        | 38    bytes | 8567.52     | 88 latencies
ID 10001    | 37    bytes | 4032.98     | 88 latencies
ID 10002    | 736   bytes | 8698.17     | 88 latencies
ID 10003    | 38    bytes | 8562.22     | 88 latencies
ID 20001    | 37    bytes | 4628.52     | 88 latencies
ID 20002    | 736   bytes | 7000.83     | 88 latencies
ID 20003    | 38    bytes | 8503.11     | 88 latencies
ID 30001    | 37    bytes | 5551.64     | 88 latencies
ID 30002    | 736   bytes | 7421.02     | 88 latencies
ID 30003    | 38    bytes | 8580.93     | 88 latencies
ID 40001    | 37    bytes | 5460.89     | 88 latencies
ID 40002    | 736   bytes | 8712.41     | 88 latencies
ID 40003    | 38    bytes | 8586.91     | 88 latencies
ID 50001    | 37    bytes | 4727.05     | 88 latencies
ID 50002    | 736   bytes | 6879.70     | 88 latencies
ID 50003    | 38    bytes | 8443.05     | 88 latencies
ID 60001    | 37    bytes | 5572.11     | 88 latencies
ID 60002    | 736   bytes | 8543.01     | 88 latencies
ID 60003    | 38    bytes | 8574.81     | 88 latencies
ID 70001    | 37    bytes | 5536.35     | 88 latencies
ID 70002    | 736   bytes | 8728.16     | 88 latencies
ID 70003    | 38    bytes | 8590.73     | 88 latencies
ID 80001    | 37    bytes | 5332.26     | 88 latencies
ID 80002    | 736   bytes | 8702.56     | 88 latencies
ID 80003    | 38    bytes | 8568.03     | 88 latencies
ID 90001    | 37    bytes | 4830.38     | 88 latencies
ID 90002    | 736   bytes | 6803.42     | 88 latencies
ID 90003    | 38    bytes | 8552.22     | 88 latencies
ID 100001   | 37    bytes | 4491.32     | 88 latencies
ID 100002   | 736   bytes | 6775.56     | 88 latencies
ID 100003   | 38    bytes | 8311.59     | 88 latencies
ID 110001   | 37    bytes | 5538.11     | 88 latencies
ID 110002   | 736   bytes | 7370.12     | 88 latencies
ID 110003   | 38    bytes | 8563.82     | 88 latencies
ID 120001   | 37    bytes | 5281.81     | 88 latencies
ID 120002   | 736   bytes | 6472.51     | 88 latencies
ID 120003   | 38    bytes | 8335.80     | 88 latencies
ID 130001   | 37    bytes | 4869.07     | 88 latencies
ID 130002   | 736   bytes | 8708.39     | 88 latencies
ID 130003   | 38    bytes | 8592.47     | 88 latencies
ID 140001   | 37    bytes | 5160.69     | 88 latencies
ID 140002   | 736   bytes | 8727.31     | 88 latencies
ID 140003   | 38    bytes | 8590.27     | 88 latencies
ID 150001   | 37    bytes | 5632.74     | 88 latencies
ID 150002   | 736   bytes | 8221.05     | 88 latencies
ID 150003   | 38    bytes | 8325.64     | 88 latencies
ID 160001   | 37    bytes | 5548.10     | 88 latencies
ID 160002   | 736   bytes | 7561.35     | 88 latencies
ID 160003   | 38    bytes | 8592.11     | 88 latencies
ID 170001   | 37    bytes | 5546.48     | 88 latencies
ID 170002   | 736   bytes | 8713.12     | 88 latencies
ID 170003   | 38    bytes | 8576.00     | 88 latencies
ID 180001   | 37    bytes | 5629.44     | 88 latencies
ID 180002   | 736   bytes | 7721.07     | 88 latencies
ID 180003   | 38    bytes | 8567.76     | 88 latencies
ID 190001   | 37    bytes | 5474.69     | 88 latencies
ID 190002   | 736   bytes | 7823.48     | 88 latencies
ID 190003   | 38    bytes | 8453.76     | 88 latencies
ID 200001   | 37    bytes | 5422.88     | 88 latencies
ID 200002   | 736   bytes | 8281.25     | 88 latencies
ID 200003   | 38    bytes | 8497.58     | 88 latencies
ID 210001   | 37    bytes | 5099.27     | 88 latencies
ID 210002   | 736   bytes | 7745.43     | 88 latencies
ID 210003   | 38    bytes | 8520.85     | 88 latencies
ID 220001   | 37    bytes | 5582.50     | 88 latencies
ID 220002   | 736   bytes | 7018.51     | 88 latencies
ID 220003   | 38    bytes | 8592.30     | 88 latencies
ID 230001   | 37    bytes | 5647.88     | 88 latencies
ID 230002   | 736   bytes | 7174.08     | 88 latencies
ID 230003   | 38    bytes | 8558.10     | 88 latencies
ID 240001   | 37    bytes | 5511.02     | 88 latencies
ID 240002   | 736   bytes | 7796.19     | 88 latencies
ID 240003   | 38    bytes | 8396.02     | 88 latencies
ID 250001   | 37    bytes | 5537.38     | 88 latencies
ID 250002   | 736   bytes | 8415.72     | 88 latencies
